"","","","","","","","Europe ","","","","","","",
"","All ","","","Northwestern ","Europe ","","","Central Europe ","","Eastern ","Europe ","Southern ","Europe ",
"Year ","countries ","Total ","Great Britain ","Ireland ","Scandi- navia ","Other North- western 4 ","iermany ","Poland ","Other entral ","U.S.S.R. and Baltic. States ","Other Eastern ","Italy ","Other Southern ",
"1854 1853 ","427.833 368.645 ","405.542 361,576 ","58,647 37,576 ","101,606 162.649 ","4,222 3'396 ","28,070 14.205 ","215 009 141'946 ","208 33 ","","2 3 ","7 15 ","1.268 555 ","1,508 1,198 ",
"1852 1851 ","371.608 879,466 ","362.484 369,510 ","40.699 51,487 ","159,543 221,253 ","4,106 2,438 ","11,278 20,905 ","145.918 72,482 ","110 10 ","","2 1 ","3 2 ","351 447 ","469 485 ",
"1850 ","369,980 ","308,823 ","51,085 ","164 004 ","1,589 ","11,470 ","78,896 ","5 ","","31 ","15 ","431 ","797 ",
"1849 1848 ","297.024 226,527 ","286,501 218,025 ","55132 35.159 ","169'398 112'934 ","3,481 1,113 ","7,634 9,877 ","60,235 58.465 ","4 ","","44 1 ","9 3 ","209 241 ","355 232 ",
"1847 ","234,968 ","229.117 ","23,302 ","105.536 ","1,320 ","24,336 ","74,281 ","8 ","","5 ","2 ","164 ","163 ",
"1846 ","154,416 ","146,315 ","22,180 ","51,752 ","2,080 ","12,303 ","57,561 ","4 ","","248 ","4 ","151 ","82 ",
"1845 ","114,371 ","109,301 ","19,210 ","44,821 ","932 ","9 466 ","34,355 ","6 ","","1 ","3 ","137 ","320 ",
"1844 1843 ","78.615 52.496 ","74.745 49.013 ","14,853 8,430 ","33,490 19,670 ","1,336 1,777 ","4'343 41364 ","20.731 14,441 ","36 17 ","","13 6 ","10 ","141 117 ","292 186 ",
"1842 ","104.565 ","99,945 ","22.005 ","51,342 ","588 ","5.361 ","20 370 ","10 ","","28 ","5 2 ","100 ","139 ",
"1841 ","80.289 ","76,216 ","16,188 ","37,772 ","226 ","6,077 ","153291 ","15 ","","174 ","6 ","179 ","288 ",
"1840 ","84.066 ","30,126 ","2,613 ","39,430 ","207 ","7 978 ","29.704 ","5 ","","","1 ","37 ","151 ",
"1839 1838 ","68.069 38,914 ","64 148 34:070 ","10.271 5.420 ","23,968 12,645 ","380 112 ","7'891 3.'839 ","21,028 11.688 ","46 41 ","","7 13 ","1 ","84 $6 ","477 231 ",
