"1949 1948 1947 ","188,317 170,570 147,292 ","129.592 104.544 83,535 ","21'141 26,408 23'781 ","8.678 7.534 21574 ","6.665 6,127 41918 ","12,288 13,721 ","55.284 19)368 ","1,673 2,447 ","7,411 6,006 ","694 897 ","246 485 ","11 695 16:0'75 ","3,809 4.481 ",
"1946 ","108,721 ","52,852 ","33,551 ","1,816 ","1,278 ","141562 8,651 ","13,900 2,598 ","745 335 ","4.622 511 ","761 153 ","249 98 ","13,866 2,636 ","3,550 1,224 ",
"1945 ","38,119 ","5.943 ","3.025 ","427 ","224 ","365 ","172 ","195 ","206 ","98 ","97 ","213 ","917 ",
"1944 1943 1942 ","28 551 23'725 28)781 ","41509 41920 11.153 ","1,321 974 90: ","112 165 83 ","281 239 371 ","619 1.531 5,622 ","238 248 2,150 ","292 394 343 ","316 206 396 ","157 159 197 ","109 54 117 ","120 49 103 ","944 901 864 ",
"1941 ","51.776 ","26,541 ","7,711; ","272 ","1,137 ","9,009 ","4,028 ","451 ","786 ","665 ","299 ","450 ","1,730 ",
"1940 1939 ","70,756 82.998 ","50,454 631138 ","6,151 3,051 ","839 1.189 ","1,260 1178 ","7 743 ","21.520 ","702 ","3 628 ","898 ","491 ","5.302 ","1,913 ",
"1938 ","67,895 ","44,495 ","2.262 ","1,085 ","1,393 ","5'214 3'352 ","33'515 17:199 ","3,072 2.403 ","51334 195 ","1,021 960 ","620 542 ","6,570 7.712 ","2.367 2392 ",
"1937 ","50.244 ","311863 ","1.72f ","531 ","971 ","2(512 ","10,895 ","1,212 ","3:763 ","629 ","533 ","7.192 ","198A ",
"1936 ","36,329 ","23.480 ","1,810 ","444 ","646 ","1,745 ","6,346 ","869 ","2,723 ","378 ","424 ","6,774 ","1,821 ",
"1985 ","34 966 ","22 778 ","1,415 ","454 ","688 ","1808 ","5,201 ","1 504 ","2,357 ","418 ","453 ","6,566 ","1.916 ",
"1934 1983 ","29,470 23,068 ","17)210 12,888 ","1,305 971 ","443 338 ","667 511 ","1:270 1,046 ","41392 1.919 ","1032 1,332 ","1,422 981 ","607 458 ","347 352 ","4374 3,477 ","1,461 991 ",
"1932 ","351576 ","20'579 ","2,055 ","539 ","938 ","1,558 ","21670 ","11296 ","1,749 ","636 ","592 ","6,662 ","1,882 ",
"1931 ","97,139 ","61,909 ","9,11( ","7,305 ","3,144 ","4,420 ","10,401 ","3,604 ","41500 ","1,396 ","1,192 ","131399 ","3.438 ",
"1930 ","241,700 ","147,438 ","31,011 ","23,445 ","6,919 ","9 170 ","26.569 ","9,231 ","9 184 ","2 772 ","2159 ","22 327 ","4,647 ",
"1929 1928 ","279,678 307'255 ","158,598 158.513 ","21.325 19,958 ","19.921 25'268 ","17 379 16 '184 ","9'091 9:079 ","46 751 45'778 ","9.002 8'755 ","8'081 7'091 ","2:450 2.652 ","2'153 1'776 ","18:008 17,728 ","4 435 4'244 ",
"1927 1926 ","335:175 304,488 ","168,868 155-562 ","23,665 25,528 ","28,545 24'897 ","16,'860 16,818 ","9,134 8,773 ","48,513 50,421 ","9211 7,126 ","6'559 6,020 ","2.933 3,328 ","1,708 1.596 ","17.297 8,258 ","3,939 2,807 ",
"1925 ","294 314 ","148,366 ","27,172 ","26,650 ","16.810 ","8,548 ","46 068 ","5.,341 ","4,701 ","3,121 ","1,566 ","6,203 ","2186 ",
"1924 1923 ","706'896 522'919 ","364339 307,920 ","59,490 45,755 ","17111 15:740 ","35 577 34:184 ","16'077 12,469 ","75'091 48:277 ","28,806 26.538 ","32 700 34'038 ","20 918 211151 ","13173 16'082 ","56.246 46,674 ","9:150 7,008 ",
"1922 1921 ","309556 805,228 ","216,386 652,364 ","25,158 51,142 ","10,579 28,435 ","14,626 22,854 ","11,149 29,317 ","17,981 6,803 ","28,635 95.089 ","291363 77,069 ","19,910 10,193 ","12'244 32,798 ","40,319 222,260 ","6,477 76,409 ",
"1920 ","430,001 ","246 295 ","38,471 ","9.591 ","13 444 ","24,491 ","1,001 ","4.813 ","5.666 ","1,751 ","3,913 ","95,145 ","48 009 ",
"1919 1918 ","141,132 110,618 ","241627 31,063 ","6.797 2,516 ","474 331 ","5:590 6.606 ","5,126 3146 ","52 447 ","(10 (to) ","53 61 ","1,403 4.242 ","51 93 ","1,884 51250 ","3:197 8,471 ",
"1917 1916 ","295.403 298,826 ","133'083 145,699 ","10-735 16,063 ","5,406 8,639 ","13.771 14,761 ","6,731 8,715 ","1,857 2,877 ","(10) (10) ","1258 5,191 ","121716 7,842 ","869 1,167 ","34,596 88,665 ","45-644 46,779 ",
"1915 ","326 700 ","197 919 ","27 237 ","14.,185 ","17.883 ","12,096 ","7 799 ","(10) ","18,511 ","26,187 ","2 892 ","49,688 ","21,441 ",
"1914 1918 1912 ","218'480 .197.892 838..172 ","058'391 110551855 718.875 ","48,729 60,928 57.148 ","24.688 27,876 25,879 ","29.391 32 267 271554 ","25,591 28.086 22,921 ","35'734. 34.029 27,788 ","(10 (10) (10) ","278 152 254'825 178:882 ","256 660 291'040 162,'395 ","21.'420 18,036 20,925 ","283'738 265'542 1571134 ","55,288 43,526 38.249 ",
"1911 ","878,587 ","764,757 ","78,384 ","29,112 ","42,286 ","25,549 ","32,061 ","(5o) ","159,057 ","158, 721 ","21,665 ","182,882 ","40,051 ",
"1910 1909 ","041 570 ","926 291 ","68,941 ","29.855 ","48 267 ","23.852 ","31 283 ","(U0) ","258 737 ","186 792 ","25 287 ","215 537 ","37.740 ",
"1908 ","751:786 782,870 ","654875 691,901 ","46.793 62,824 ","251033 30 556 ","32,'496 30,175 ","17,756 22,177 ","25'540 32'309 ","(10 to ","170'191 168,509 ","120 '460 156 '711 ","11,'659 27,845 ","183'218 128'503 ","21,729 32,792 ",
"1907 1906 ","285,349 100,735 ","1,199,566 1,018,365 ","79,037 67,198 ","341530 34,995 ","49,965 52.781 ","26.512 23,277 ","37(807 37,564 ","tn) L) ","338.452 265,138 ","258.943 216,665 ","36,510 18,652 ","285,731 273,120 ","52,079 291976 ",
"1905 1904 ","026,499 ","974.273 ","84,189 ","52,945 ","60,625 ","24 693 ","40,574 ","(10) (19) ","275 693 ","184 897 ","11 022 ","221 479 ","18,156 ",
"1903 ","812,870 857,046 ","767,933 814,507 ","51,448 33,637 ","36,142 35,310 ","60' 096 77'647 ","23'321 17'009 ","46,380 40,086 ","(10 ","177'156 206'011 ","145'141 136:093 ","12 '756 12'600 ","193 '296 230'622 ","22.197 25 492 ",
"1902 ","648,743 ","619.068 ","16,898 ","29,138 ","54.038 ","10.322 ","28,304 ","(10) ","171:989 ","107,847 ","8:234 ","178:375 ","14,'43 ",
"1901 ","487,918 ","469,237 ","14,985 ","30,561 ","39,234 ","9,279 ","21,651 ","(10) ","113,390 ","85,257 ","8,199 ","185,996 ","10,685 ",
"1900 1899 ","448.572 ","424,700 ","12,509 ","35,730 ","31 151 22'192 ","5,822 ","18,507 17,476 ","(10) (10) ","114.847 ","90 787 60'982 ","6,852 ","100 135 ","8,360 ",
"1898 ","311,715 229,299 ","297,349 217,786 ","13-456 12.894 ","31,673 251128 ","19'282 ","6,150 4'698 ","17,111 ","4,726 ","62,491 39.797 ","29'828 ","1,738 11076 ","77'419 58'618 ","4772 4'633 ",
"1897 1896 ","230,832 343,267 ","216,397 329,067 ","12,752 24,565 ","28,421 40,262 ","21,089 38,199 ","5'323. 7,611 ","22.533 31,885 ","4,165 691 ","33,031 65,103 ","25;816 51,445 ","943 954 ","59:431 68,060 ","2,893 5,292 ",
"1895 1894 ","258,536 ","250,342 277,052 ","28.833 22.520 ","46 304 30,'231 ","26 852 32 '400 ","7,313 91514 ","32 173 53,'989 ","790 1,941 ","33.401 38,638 ","35,907 39 278 ","768 1,027 ","35,427 42,977 ","2 574 4'537 ",
"1893 ","285,631 459 780 ","429.824 ","35,189 ","43.578 ","58:945 ","17,888 ","78,756 ","16,374 ","57,420 ","42'310 ","625 ","72145 ","6'094 ",
"1892 1891 ","579,663 560,319 ","570,876 546.085 ","42,215 66,606 ","51,383 55,706 ","66,295 60,107 ","21.731 21,824 ","119,168 113,554 ","40,536 27,497 ","76'937 71,042 ","81:511 47,426 ","1,331 1,222 ","611631 76,055 ","8,138 5,047 ",
