"","","","","","","","","Europe ","","","","","",
"","All countries ","Total ","","Northwestern ","Europe ","","","Central Europe ","","Eastern ","Europe ","Southern ","Europe ",
"Year ","","","Great Britain ","Ireland ","Scandi- navia3 ","Other North- western4 ","Germany ","Poland ","Other Central ","U.S.S.R. ind Baltic States' ","Other Eastern ","Italy ","Other Southern ",
"","89 ","90 ","91 ","92 ","93 ","94 ","95 ","96 ","97 ","98 ","99 ","100 ","101 ",
"1970 1969 ","373.326 358,579 ","110,653 114-052 ","14,08 15,07 ","1,58 1.981 ","2.110 2.149 ","6.961 ","10,632 ","2,013 ","10,411 ","836 ","1,357 ","27369 ","33 292 ",
"1968 1967 1966 ","454,448 361,972 323,040 ","129.022 128,775 115,898 ","26'02 23:00 18,77 ","2.995 2,761 8.267 ","4.203 4.230 4.549 ","5-944 9.876 9.881 9,045 ","10,380 16'590 16'595 17,654 ","2115 3'676 41356 8,490 ","8,889 5'659 5:116 3,972 ","574 974 876 768 ","1,158 883 899 878 ","27'033 25'882 28:487 26,447 ","38'757 32 '262 32;566 22,047 ",
"1965 ","296.697 ","101,468 ","24,13 ","5,187 ","5.853 ","11,526 ","22,432 ","7 093 ","3,693 ","632 ","869 ","10 874 ","9 184 ",
"1964 1963 1962 ","292,248 306,260 280,763 ","108,215 109,066 108,989 ","26,75 22,70 18,06 ","6,055 5,746 6118 ","5,497 5,208 4,716 ","11,120 11,938 13.117 ","24,494 24,727 21.477 ","71097 6.786 5)660 ","3-248 3.244 2.533 ","763 591 753 ","1,054 996 753 ","12""769 16:175 20,119 ","10'360 10:948 11,677 ",
"196 ","271,344 ","108,532 ","18,71 ","5,738 ","4,943 ","14,635 ","25,815 ","6,254 ","2,911 ","996 ","620 ","18,956 ","8,945 ",
"1960 ","265,398 ","120,178 ","19.96 ","6,918 ","6,185 ","17.234 ","29,452 ","4,216 ","9,073 ","856 ","761 ","13.369 ","12.147 ",
"1959 1958 ","260,686 253,265 ","138-191 115,198 ","18.32' 24,14 ","6.595 9.134 ","6.100 5.873 ","14,217 ","32.039 29 498 ","2.800 1,470 ","30.738 ","775 ","726 ","16.804 ","9,072 ",
"1957 ","326,867 ","169,625 ","24.02 ","8,227 ","6,189 ","11,364 25,109 ","60:353 ","571 ","3.508 15.498 ","641 663 ","673 558 ","23,115 19,624 ","5,775 8.813 ",
"1956 ","321,625 ","156,866 ","19,00: ","5,607 ","5,681 ","15,254 ","44,409 ","263 ","10,284 ","643 ","394 ","40,430 ","14.893 ",
"1955 ","237,790 ","110,591 ","15,76: ","5-222 ","5,159 ","10,707 ","29 596 ","129 ","4,133 ","523 ","134 ","30,272 ","8 955 ",
"1954 1953 ","208,177 170 434 ","92,121 82 352 ","16,07 16.63! ","41655 41304 ","51459 5.537 ","11.853 11145 ","33,'098 27.329 ","67 136 ","2,873 21885 ","475 609 ","104 ","13,145 ","3,720 ",
"1952 1951 ","265)520 205,717 ","1931626 149,545 ","22.17 14,891 ","3,526 3.144 ","5,416 5,502 ","12,476 10,978 ","104,236 87,755 ","235 98 ","23.529 10,365 ","548 555 ","86 137 223 ","8.432 11,342 8,938 ","5,250 10,004 7,074 ",
"1950 ","249,187 ","199,115 ","12 751 ","5.842 ","5,661 ","10.857 ","128,592 ","696 ","17 792 ","526 ","277 ","12,454 ","3,663 ",
