"","","","Asia ","","","","","","","","America ","","",
"Year ","Total ","Turkey in Asia 11 ","China 12 ","","India ","","Japan 1s ","Other Asia ","Total ","Canada and New- foulhdland ","Mexico ","West Indies ","Other America ",
"","102 ","108 ","104 ","","105 ","","106 ","109 ","110 ","111 ","112 ","113 ","114 ",
"1890 1889 ","4,448 1,725 ","1,126 593 ","1,716 118 ","","","43 59 ","691 640) ","872 315 120 ","3,833 5,459 5,402 ","183 28 15 ","(18) (19 (1H ","3,070 41923 4,880 ","580 508 507 ",
"1888 1887 ","843 615 ","273 208 ","26 10 ","","","20 32 ","404 229 ","136 ","5,270 ","9 ","(1A) ","4,876 ","386 ",
"1886 ","317 ","15 ","40 ","","","17 ","194 ","$1 ","3,026 ","17 ","(1s) ","2,734 ","276 ",
"1885 ","198 ","","22 ","","","B4 ","49 ","93 ","41,203 ","38,336 ","323 ","2,477 ","67 ",
"1884 ","510 ","","279 ","","","19 ","20 27 ","199 46 ","63.339 71.729 ","60,626 70.274 ","430 469 ","2,208 908 ","75 83 ",
"1883 1882 ","8,118 39,629 ","","8.031 391579 ","","","10 ","5 ","35 ","100.129 ","981366 ","366 ","1.291 ","106 122 ",
"1881 ","11,982 ","5 ","11.890 ","","","33 ","11 ","43 ","127,577 ","125,450 ","325 ","1,680 ","",
"1880 ","5,839 ","4 ","5-802 ","","","21 ","4 ","8 ","101.692 ","99,744 ","492 ","1,851 ","105 ",
"1879 ","9,660 ","31 7 ","9,604 8.992 ","","","15 8 ","4 IP ","6 5 ","33.043 27.204 ","31,286 25,592 ","556 465 ","1.123 1,019 ","78 128 ",
"1873 1877 ","9,014 10.640 ","3 ","10,594 ","","","17 ","","19) ","24,065 ","22.187 ","445 ","1,890 ","93 ",
"1876 ","22.943 ","8 ","22,781 ","","","25 ","4 ","125 ","241686 ","22,605 ","631 ","1.382 ","168 ",
"1875 ","16,499 ","1 ","16,437 ","","","19 ","3 ","39 ","261640 ","24,097 ","610 ","1,790 ","143 ",
"1874 ","13.838 ","6 ","13,776 ","","","17 ","21 9 ","18 ","351.,339 ","38,020 ","386 606 ","1.777 1,634 ","156 204 ",
"1873 1872 ","201325 7.825 ","3 L ","20.292 7,788 ","","","15 12 ","17 ","6 ","40.335 42,205 ","37,891 40,204 ","569 ","1,322 ","110 ",
"1871 ","7,240 ","4 ","7,135 ","","","14 ","78 ","9 ","48,886 ","47,164 ","402 ","1,169 ","100 ",
"1870 ","16,825 ","- ","15.740 ","","","24 ","48 ","13 ","42,658 ","40.414 ","463 320 ","1,679 2.233 ","102 94 ",
"1869 1868 ","12.949 5,171 ","2 ","12,874 5,157 ","","","3 ","63 ","7 14 ","23.767 3.415 ","21,120 2.1785 ","129 ","419 ","82 ",
