"1867 1866 ","3,961 2,411 ","","3.863 2,385 ","","","2 17 ","67 7 ","29 2 ","241715 33!582 ","28.379 82.150 ","292 239 ","317 895 ","227 298 ",
"1865 ","2,947 ","","2.942 ","","","5 ","- ","- ","22, 778 ","21,586 ","193 ","851 ","148 ",
"1864 ","2,982 ","","2,975 7.214 ","","","6 1 ","","1 ","4,607 41147 ","31636 3.464 ","99 96 ","718 491 ","154 96 ",
"1868 1862 1861 ","7,216 8,640 7,528 ","","3,633 7,518 ","","","5 6 ","- 1 ","2 3 ","4,175 2,763 ","31275 2.069 ","142 218 ","685 358 ","173 118 ",
"1380) ","5,476 ","","5,467 ","","","C ","","4 ","6,843 ","4,514 ","229 ","1.384 ","216 ",
"1859 1858 1857 ","3,461 5,133 5,945 ","","3,457 5-128 5.944 ","","","","","2 - ","5,466 5.821 6,811 ","4-163 4,603 5.670 ","265 429 133 ","879 647 923 ","159 142 85 ",
"1856 ","4,747 ","","4,733 ","","","13 ","","1 ","9,058 ","6,493 ","741 ","1,337 ","487 ",
"1865 ","3,540 ","","3,526 ","","","6 ","","8 ","9,260 ","7,761 ","420 ","887 ","19D ",
"1854 ","13,100 ","","13,100 ","","","- 5 ","","","8,533 ","6.891 ","446 162 ","1,086 406 ","160 38 ",
"1853 1852 ","47 4 ","","42 ","","","","","","6,030 7,695 ","5,424 6,352 ","72 ","1,282 ","39 ",
"1851 ","2 ","","","","","2 ","","","9,703 ","7,438 ","181 ","1,929 ","155 ",
"1850 ","7 ","",": ","","","4 ","","","15,768 ","9,376 ","597 ","3,171 ","2,624 ",
"1849 1848 1847 ","11 8 12 ","","","","","8 6 8 ","","b ","8,904 7,989 5,231 ","6,890 6,473 3.827 ","518 24 62 ","11073 11338 11251 ","423 154 91 ",
"1846 ","11 ","","","","","4 ","","(- ","5,525 ","3,855 ","222 ","1,351 ","97 ",
"1845 ","6 ","","","","","","","","5,085 ","8,196 ","498 ","1,241 ","101 ",
"1344 1843 ","6 11 ","","","","","1 ","","2 E ","$,740 2,854 ","2,711 1,502 ","197 398 ","771 880 ","61 74 ",
"1842 ","7 ","","","","","2 ","","1 ","$,994 ","2.078 ","403 ","1.410 ","103 ",
"1841 ","3 ","","","","","F ","","- ","3,429 ","1,816 ","352 ","1,042 ","219 ",
"1840 ","I ","","","","","I ","","4 ","8.81E ","1.938 ","395 ","1,446 ","36 49 ",
"1839 1838 ","1 ","","","","","1 ","","] ","3,617 2.99( ","1.926 11476 ","353 211 ","1,289 1,231 ","72 ",
"1837 ","11 ","","","","","11 ","","","3,628 ","11279 ","627 ","1,627 ","95 ",
"1838 ","4 ","","","","","4 ","","- ","4.936 ","2,814 ","798 ","1,178 ","146 ",
"1835 ","17 ","","","","","8 ","","1 ","312 ","1,193 ","1,032 ","938 ","149 ",
"1834 1833 ","6 3 ","","","","","6 3 ","","","2l779 3,282 ","1,020 11194 ","885 7/9 ","791 1.264 ","83 45 ",
"1882 ","4 ","","","","","4 ","","- ","2,871 ","608 ","827 ","1.256 ","180 ",
"1831 ","1 ","","","","","1 ","","","2,194 ","176 ","692 ","1.281 ","45 ",
"1830 ","","","","","","- ","","","2,296 ","189 ","983 ","937 ","137 ",
"189 ","2 ","","","","","1 ","","- ","3,299 ","409 ","2,290 ","517 ","83 82 ",
"1828 1827 ","3 1 ","","","","","3 1 ","","- - ","2,09( 58( ","267 165 ","1,035 12 ","652 227 ","61 ",
"1326 ","1 ","","","","","1 ","","","88: ","223 ","106 ","427 ","75 ",
"1325 ","1 ","","","","","","",". ","841 ","314 ","6E ","389 ","",
"1824 ","1 ","","","","","1 ","","- ","55! ","155 ","11f ","259 160 ","20 ",
"1823 1922 ","1 ","","","","","1 ","","- . ","3S: 371 ","167 204 ","E ","159 ","10 ",
"1821 ","","","","","","","","","301 ","184 ","4 ","107 ","8 ",
"1820 ","5 ","","","","","1 ","","$ ","38"" ","209 ","1 ","164 ","13 ",
