1902,648743,619068,16898,29138,54038,10322,28304,-1,171989,107847,8234,178375,1443
1901,487918,469237,14985,30561,39234,9279,21651,-1,113390,85257,8199,185996,10685
1900,448572,424700,12509,35730,31151,5822,18507,-1,114847,90787,6852,100135,8360
1899,311715,297349,13456,31673,22192,6150,17476,-1,62491,60982,1738,77419,4772
1898,229299,217786,12894,251128,19282,4698,17111,4726,39797,29828,11076,58618,4633
1897,230832,216397,12752,28421,21089,5323,22533,4165,33031,25816,943,59431,2893
1896,343267,329067,24565,40262,38199,7611,31885,691,65103,51445,954,68060,5292
1895,258536,250342,28833,46304,26852,7313,32173,790,33401,35907,768,35427,2574
1894,285631,277052,22520,30231,32400,91514,53989,1941,38638,39278,1027,42977,4537
1893,459780,429824,35189,43578,58945,17888,78756,16374,57420,42310,625,72145,6094
1892,579663,570876,42215,51383,66295,21731,119168,40536,76937,81511,1331,611631,8138
1891,560319,546085,66606,55706,60107,21824,113554,27497,71042,47426,1222,76055,5047
